Utterance,Speaker,Emotion,Strategy
You were out of the house all night.,Therapist,neutral,Interpretation
"Yeah, right.",Client,depression,undefined
"If he really cared, he wouldn't have started with his shit.",Client,anger,undefined
Start what?,Therapist,neutral,Open question
"At the club, this guy.",Client,disgust,undefined
Oh my god.,Client,disgust,undefined
"He had corduroy pants on,",Client,disgust,undefined
Preppy Sweater.,Client,disgust,undefined
"A republican, probably.",Client,disgust,undefined
"You know can I just step out for a second and let him know I'm here I mean,",Client,anger,undefined
I can't concentrate with this shit.,Client,anger,undefined
Just a sec.,Client,anger,undefined
"Laura, the call can wait.",Therapist,neutral,Communication Skills
"Andrew gave me an ultimatum,",Client,sadness,undefined
either we get married or we split.,Client,sadness,undefined
He said he wants an answer in a day or two at the most or else he's out.,Client,sadness,undefined
"He said he can't take it anymore,",Client,sadness,undefined
"that he loves me, that he doesn't believe I love him.",Client,sadness,undefined
"Not for real,",Client,sadness,undefined
that it's been two years already on and off.,Client,sadness,undefined
Blah blah blah.,Client,sadness,undefined
"I don't know why, all of a sudn",Client,sadness,undefined
he just started ranting and raving.,Client,sadness,undefined
We've talked about this stuff before.,Client,sadness,undefined
"But it was all in theory, if we stayed together.",Client,sadness,undefined
If.,Client,sadness,undefined
"And suddenly, out of the blue, I",Client,disgust,undefined
I can't even remember what we were doing.,Client,disgust,undefined
We were watching Tv.,Client,anger,undefined
"All of a sudden he just,",Client,anger,undefined
gets off the couch and grabs the remote and turns off the Tv,Client,anger,undefined
"and he turns to me and he has tears in his eyes and he says,",Client,anger,undefined
that's it. I can't take it anymore.,Client,anger,undefined
So out of line.,Client,anger,undefined
Promised he'd lay off the subject for awhile,Client,anger,undefined
and all of a sudden he's on this crying bullshit.,Client,anger,undefined
He actually burst out crying.,Client,anger,undefined
I've never seen him like that before.,Client,anger,undefined
"And to tell you the truth, it really scared me.",Client,anger,undefined
"No, it made me angry.",Client,anger,undefined
Why?,Therapist,neutral,Open question
Because he's trying to manipulate me with these. These cheap chick tricks.,Client,anger,undefined
"Maybe he thought he would break my heart or something,",Client,anger,undefined
appeal to my.,Client,anger,undefined
"Shit, you know, forget it. I don't know.",Client,anger,undefined
I threw a tantrum,Client,anger,undefined
like a three-year-old.,Client,anger,undefined
"Screamed, cried,",Client,anger,undefined
told him to fuck off.,Client,anger,undefined
I told him he was,Client,disgust,undefined
a little piece of shit for doing this,Client,disgust,undefined
to me when he knows that I'm working double shifts at the hospital this week.,Client,disgust,undefined
"I slammed the door,",Client,disgust,undefined
smashed his laptop on the floor. I killed it.,Client,disgust,undefined
I ran out and I called Alona.,Client,depression,undefined
She dressed me in this outfit.,Client,depression,undefined
"It's, it's not mine.",Client,depression,undefined
We went out for a drink,Client,depression,undefined
at a club that she likes on chester st.,Client,depression,undefined
"She tried to calm me down, put things into perspective.",Client,depression,undefined
And she said.,Client,depression,undefined
"She said I was Lucky,",Client,depression,undefined
that she wished somebody loved her enough to give her an ultimatum.,Client,depression,undefined
And then we drank.,Client,depression,undefined
"Well,",Client,depression,undefined
i drank.,Client,depression,undefined
"And, there was this guy at the bar,",Client,depression,undefined
and at some point Alona said that she was tired,Client,depression,undefined
and that she needed to go home.,Client,depression,undefined
And then that guy...,Client,depression,undefined
"Moved next to me and,",Client,depression,undefined
you know what he said?,Client,depression,undefined
"He said,",Client,depression,undefined
you look so sad.,Client,depression,undefined
"And I said, really?",Client,depression,undefined
"And he said, yeah, you do.",Client,depression,undefined
It looks good on you.,Client,depression,undefined
Looks good on you.,Client,depression,undefined
"I mean, whatever happened to",Client,joy,undefined
: do you have the time?,Client,joy,undefined
Or haven't we met before?,Client,joy,undefined
"I must be totally out of touch, Paul.",Client,joy,undefined
"What do you think? Client: I mean, do I look good when I'm sad?",Client,joy,undefined
I...,Therapist,neutral,Self-disclosure
I don't think anybody looks good when they're sad.,Therapist,neutral,Self-disclosure
"And then,",Client,depression,undefined
"I don't know how much I had to drink cause he was ordering for me, of course.",Client,depression,undefined
"And then he, paid the Bill and he asked me,",Client,depression,undefined
"would you like to go somewhere else? And I said,",Client,depression,undefined
"yes, I'd like to go to the bathroom.",Client,depression,undefined
So I stood up and I went to the bathroom.,Client,depression,undefined
He follows me.,Client,depression,undefined
"And you wouldn't believe it, but these were unisex bathrooms.",Client,disgust,undefined
Am I'm Lucky or what?,Client,disgust,undefined
"How do you mean, i'm Lucky?",Therapist,neutral,Open question
"Well, I'm, I'm running away from a guy and I'm.",Client,disgust,undefined
"Yeah, you were trying to get away from the guy.",Therapist,neutral,Restatement
"Right. I mean,",Client,joy,undefined
"I needed to pee, you know, by myself. I've been doing that since I was three.",Client,joy,undefined
So I realized i needed to make a decision.,Client,neutral,undefined
By following me to the bathroom this guy was also giving me an ultimatum.,Client,disgust,undefined
"I thought, fuck, out of the pan and into the fire.",Client,disgust,undefined
I ran away from one ultimatum,Client,disgust,undefined
and there was this guy with a hard-on giving me another.,Client,disgust,undefined
Suddenly I felt like doing it.,Client,disgust,undefined
I never had sex in a bathroom before.,Client,disgust,undefined
"I mean, what?",Client,disgust,undefined
I should go and Marry Andrew without ever knowing,Client,disgust,undefined
what a good bathroom fuck's all about?,Client,disgust,undefined
"It's part of a young lady's education, isn't it?",Client,disgust,undefined
So you wanted to do i,Therapist,neutral,Interpretation
but not to get back at Andrew?,Therapist,neutral,Interpretation
Just for yourself?,Therapist,neutral,Interpretation
That's right.,Client,neutral,undefined
A girl being forced into marriage.,Client,neutral,undefined
"What's she supposed to do, die ignorant?",Client,neutral,undefined
So this guy follows me into the stall and,Client,joy,undefined
suddenly,Client,joy,undefined
I was horny.,Client,joy,undefined
Is hearing about this disgusting to you?,Client,joy,undefined
"No,",Therapist,neutral,Approval
it's not disgusting.,Therapist,neutral,Approval
Go on.,Therapist,neutral,Communication Skills
"He unzipped,",Client,joy,undefined
"pulled down his pants,",Client,joy,undefined
and he stood there with his,Client,joy,undefined
huge.,Client,joy,undefined
"God, I felt like I was 16...",Client,joy,undefined
Touching it for the very first time.,Client,joy,undefined
I was really,Client,joy,undefined
surprised at how.,Client,joy,undefined
Warm it felt.,Client,joy,undefined
"I mean, don't I know that already?",Client,joy,undefined
And then he...,Client,depression,undefined
turned me around to face the door...,Client,depression,undefined
And he pulled down my stockings.,Client,depression,undefined
"He lifted up my skirt,",Client,depression,undefined
put his hand into his back pocket and pulled out a condom.,Client,depression,undefined
I realize this guy's very good at this. He does this a lot.,Client,depression,undefined
He's a real pro.,Client,depression,undefined
And then this...,Client,depression,undefined
guy entered the stall next to us and started peeing...,Client,depression,undefined
"In gushes, full volume like a racehorse.",Client,depression,undefined
"I thought of Andrew,",Client,sadness,undefined
"how he pees in the morning,",Client,sadness,undefined
making the same sound.,Client,sadness,undefined
My heart ached. I just...,Client,sadness,undefined
"It was so stupid, you know? I just felt",Client,sadness,undefined
so sad all of a sudden.,Client,sadness,undefined
And he's behind me and he's rubbing up against me,Client,sadness,undefined
and he's feeling me up...,Client,sadness,undefined
"I thought to myself, it's gonna happen any moment. And I just...",Client,sadness,undefined
I just couldn't do it.,Client,sadness,undefined
I simply closed my legs shut.,Client,sadness,undefined
I couldn't do it. I couldn't do it to Andrew.,Client,sadness,undefined
I just couldn't do it.,Client,sadness,undefined
Seems like quite a night out.,Therapist,neutral,Communication Skills
"Yeah, that's not the end of it",Client,depression,undefined
"because this idiot...I told him,",Client,depression,undefined
I'm really sorry but I have a boyfriend. I can't do this.,Client,depression,undefined
And he laughs in my face and says boohoo.,Client,disgust,undefined
"And he grabs my hands and he says, listen, cupcake,",Client,disgust,undefined
you think you can leave me high and dry like this?,Client,disgust,undefined
Pointing at his dick.,Client,disgust,undefined
The least you can do is make it up to me.,Client,disgust,undefined
"I said to him, what do you want?",Client,disgust,undefined
You want some money?,Client,disgust,undefined
"He said, give me a hand job",Client,disgust,undefined
and there'll be no hard feelings.,Client,disgust,undefined
"And I said to him, what's the matter with you? Are you crazy?",Client,anger,undefined
"And it was just getting really strange. I mean, it was tense.",Client,anger,undefined
His tone changed.,Client,anger,undefined
And then I thought of you...,Client,disgust,undefined
What you'd say about it.,Client,disgust,undefined
I thought about us going through this in therapy.,Client,disgust,undefined
And what did you imagine us saying?,Therapist,neutral,Open question
I imagined you not being able to understand it...,Client,depression,undefined
That you'd be disgusted.,Client,depression,undefined
Is that why you ran over here?,Therapist,neutral,Restatement
To find out if...,Therapist,neutral,Restatement
I would be disgusted?,Therapist,neutral,Restatement
I didn't run.,Client,depression,undefined
I gave him the hand job.,Client,depression,undefined
Excuse me.,Client,depression,undefined
Are you okay?,Therapist,neutral,Open question
"Yeah. Yeah, I'm fine.",Client,depression,undefined
Thank you.,Client,depression,undefined
"We talked about what happened at the club last night,",Therapist,neutral,Guiding the Pace and Depth of the Conversation
but we never got back to actually talking about...,Therapist,neutral,Guiding the Pace and Depth of the Conversation
Andrew and that argument yesterday.,Therapist,neutral,Guiding the Pace and Depth of the Conversation
I don't wanna be put in this position.,Client,disgust,undefined
I don't wanna have this power to decide our future,Client,disgust,undefined
for both of us. I just don't.,Client,disgust,undefined
Do you have any idea why Andrew chose this particular time?,Therapist,neutral,Open question
What do you mean?,Client,neutral,undefined
Do you think that,Therapist,neutral,Open question
"Andrew...just out of the blue,",Therapist,neutral,Open question
"as you said yourself,",Therapist,neutral,Open question
came up with this idea of an ultimatum?,Therapist,neutral,Open question
Did you notice anything over the last couple of days or weeks,Therapist,neutral,Open question
that you think might have brought this on?,Therapist,neutral,Open question
Nothing. I don't know. He just lost it.,Client,neutral,undefined
"I mean, shit, don't you know that men are the new women?",Client,anger,undefined
Obsessed with weddings and children.,Client,anger,undefined
And lately he's lost touch with reality.,Client,anger,undefined
He he thinks I'm seeing someone. That's how this whole thing started.,Client,anger,undefined
It's unbelievable.,Client,anger,undefined
But I thought you said,Therapist,neutral,Restatement
it came out of nowhere.,Therapist,neutral,Restatement
"You were watching tv, then suddenly...",Therapist,neutral,Restatement
"Well, we were watching tv.But before that",Client,neutral,undefined
we were having dinner and he had this look on his face.,Client,neutral,undefined
He had this sad look and I could just tell something was up.,Client,neutral,undefined
"I mean, you can just tell, huh?",Client,neutral,undefined
"And I said to him, what's going on? And he said,",Client,neutral,undefined
I don't know what I want. I just know I don't want,Client,neutral,undefined
"this on-and-off thing. So I said to him,",Client,neutral,undefined
"Sure, then let's just decide: either we get married or we split.",Client,neutral,undefined
So you were the one who came up with it.,Therapist,neutral,Interpretation
With what?,Client,neutral,undefined
The ultimatum.,Therapist,neutral,Interpretation
"No, he's the one. He had the problem with the on-and-off thing.",Client,neutral,undefined
Not me.,Client,neutral,undefined
On-and-off can mean several things.,Therapist,neutral,Interpretation
You were the one who made it specific...,Therapist,neutral,Interpretation
Get married or to split up. That was your ultimatum.,Therapist,neutral,Interpretation
"No, he had this thing with the on and...",Client,neutral,undefined
The ultim...,Client,neutral,undefined
"Yeah, okay,",Client,neutral,undefined
"I was the first one to say it, you're right.",Client,neutral,undefined
But he jumped all over it. I said I didn't know what I want.,Client,anger,undefined
"And he said, you have a day or two max to decide what you want.",Client,anger,undefined
And I said fine. And then he started crying,Client,disgust,undefined
and blah blah blah.,Client,disgust,undefined
"The whole thing was really scary to him, I think.",Client,disgust,undefined
What about you?,Therapist,neutral,Open question
Weren't you scared?,Therapist,neutral,Open question
Of what?,Client,depression,undefined
Of splitting up.,Therapist,neutral,Interpretation
I wasn't suggesting that we split up.,Client,depression,undefined
That's not the point.,Client,depression,undefined
So what do you think was the point of this argument,Therapist,neutral,Open question
that you may have initiated?,Therapist,neutral,Open question
I didn't initiate anything.,Client,depression,undefined
"You may not have meant to, but you did.",Therapist,neutral,Interpretation
It sounds like you wanted to bring this relationship into...,Therapist,neutral,Interpretation
crisis.,Therapist,neutral,Interpretation
"I know you say that Andrew hates uncertainties,",Therapist,neutral,Interpretation
but perhaps you're the one who can't live with them.,Therapist,neutral,Interpretation
"I mean, why did you choose this particular time",Therapist,neutral,Open question
to bring things to a head?,Therapist,neutral,Open question
I did no such thing.,Client,neutral,undefined
Why now?,Therapist,neutral,Open question
Because he's right.,Client,neutral,undefined
Andrew's right.,Client,neutral,undefined
I am being unfaithful to him.,Client,neutral,undefined
You mean what happened last night,Therapist,neutral,Restatement
at the club?,Therapist,neutral,Restatement
Not just last night.,Client,neutral,undefined
I've been unfaithful to him for a long time.,Client,neutral,undefined
Why haven't we talked about this before?,Therapist,neutral,Open question
I think we have.,Client,neutral,undefined
It's been here all along.,Client,neutral,undefined
You mean to say you've never noticed it?,Client,neutral,undefined
You're surprised.,Client,neutral,undefined
"No, I'm not surprised.I just...",Therapist,neutral,Restatement
I don't follow what you mean.,Therapist,neutral,Restatement
This isn't...,Client,neutral,undefined
the reaction I was hoping for.,Client,neutral,undefined
Not at all.,Client,neutral,undefined
What was the reaction that you were hoping for?,Therapist,neutral,Open question
I had...,Client,neutral,undefined
Two scenarios in my head.,Client,neutral,undefined
In the first one you stand up and you hug me...,Client,neutral,undefined
"And you say, I love you.",Client,neutral,undefined
"I love you too, Laura.",Client,neutral,undefined
I've been feeling this way for a long time.,Client,neutral,undefined
I just wanted you to be the first one to say it.,Client,neutral,undefined
And then we make love.,Client,neutral,undefined
And the...,Therapist,neutral,Open question
The second scenario?,Therapist,neutral,Open question
It's like the first one but...,Client,neutral,undefined
But without the sex.,Client,neutral,undefined
We just sit here together.,Client,neutral,undefined
"You know, I'm embarrassed to even talk about it.",Client,anger,undefined
"I mean, you're sitting there like a fucking buddha",Client,anger,undefined
acting like you have no idea what I'm talking about.,Client,anger,undefined
It's humiliating.,Client,anger,undefined
How long have you felt like this?,Therapist,neutral,Open question
A year...,Client,sadness,undefined
From the first session. I thought it would go away.,Client,sadness,undefined
"I thought it's just an infatuation, that's all.",Client,sadness,undefined
But it's getting worse.,Client,sadness,undefined
You've become the center of my life.,Client,sadness,undefined
"Laura,",Therapist,neutral,Interpretation
I'm your therapist.,Therapist,neutral,Interpretation
The parameters and the limitations...,Therapist,neutral,Interpretation
Are established and ethically defined.,Therapist,neutral,Interpretation
I'm not an option.,Therapist,neutral,Interpretation
You may be,Therapist,neutral,Interpretation
using me as a...,Therapist,neutral,Interpretation
As an excuse,Therapist,neutral,Interpretation
to bail from your relationship with...,Therapist,neutral,Interpretation
With Andrew.,Therapist,neutral,Interpretation
You know why I didn't fuck that guy?,Client,depression,undefined
Not because of Andrew.,Client,depression,undefined
Not because I didn't wanna cheat on him. I do want to cheat on him...,Client,depression,undefined
But with you.,Client,depression,undefined
You know why I didn't fuck that guy?,Client,depression,undefined
Not because of Andrew.,Client,depression,undefined
Not because I didn't wanna cheat on him. I do want to cheat on him...,Client,depression,undefined
But with you.,Client,depression,undefined
"When I was sitting there at the bar by myself,",Client,depression,undefined
I was thinking what would happen if you were to walk in?,Client,depression,undefined
"You'd walk in. You'd sit next to me at the bar,",Client,depression,undefined
you'd order a drink. I'd even...,Client,depression,undefined
I even tried to imagine what you would order...,Client,depression,undefined
"A shot of bourbon maybe, something...",Client,depression,undefined
"expensive, something fancy.",Client,depression,undefined
Then we'd start talking...,Client,depression,undefined
"What a coincidence it is to meet like this,",Client,depression,undefined
how awkward it is to meet outside the office.,Client,depression,undefined
"And then, without words,",Client,depression,undefined
"because we... We talk enough when we're here,",Client,depression,undefined
you motion for me to follow you to the bathroom.,Client,depression,undefined
And I do.,Client,depression,undefined
When I went into the stall with that guy...,Client,depression,undefined
I imagined it was you behind me.,Client,depression,undefined
That's what made it so exciting.,Client,depression,undefined
Then that guy started peeing,Client,depression,undefined
and it woke me up and I realized that it's impossible.,Client,depression,undefined
"I know it, I understand it.",Client,depression,undefined
"I tell myself that every time I walk out of here. I know it,",Client,depression,undefined
I understand it but I'm not sure that my body understands it.,Client,depression,undefined
I know it can never happen. I know it.,Client,depression,undefined
So don't worry. I'm not gonna start showing up here.,Client,depression,undefined
I'm not gonna start stalking you,Client,depression,undefined
like Glenn Close in that movie.,Client,depression,undefined
I'm not gonna...,Client,depression,undefined
boil your kids' rabbit.,Client,depression,undefined
I'm not dangerous...,Client,depression,undefined
At least not to you.,Client,depression,undefined
"God, how can I go back to my life,",Client,depression,undefined
"to the hospital, to Andrew?",Client,depression,undefined
"Not to Andrew, when the only thing that matters to me is you.",Client,depression,undefined
Our time's up.,Client,depression,undefined
"Yes, it is.",Therapist,neutral,Communication Skills
I feel like I came here in the dark,Client,depression,undefined
and I'm leaving into a bigger darkness.,Client,depression,undefined
What am I gonna do now?,Client,depression,undefined
We'll talk about it next week.,Therapist,neutral,Structuring the therapy
Okay?,Therapist,neutral,Structuring the therapy
I'll call you a taxi.,Therapist,neutral,Structuring the therapy
"No, I'm fine.",Client,neutral,undefined
"So, are there any rules?",Client,depression,undefined
Rules?,Therapist,neutral,Structuring the therapy
Ground rules.,Client,depression,undefined
Anything I should know before we start?,Client,depression,undefined
Not really. It's more or less up to you.,Therapist,neutral,Structuring the therapy
"Oh, right, right.",Client,neutral,undefined
I'm a customer.,Client,neutral,undefined
"Thought in my profession, we say that the customer is always wrong.",Therapist,neutral,Structuring the therapy
That's a...,Therapist,neutral,Structuring the therapy
That's a therapist joke.,Therapist,neutral,Structuring the therapy
"So, do you recognize me?",Client,depression,undefined
"I'm sorry, should...",Therapist,neutral,Communication Skills
Should I?,Therapist,neutral,Communication Skills
"Well, I was told you're the best.",Client,joy,undefined
A man in tune with everything around him so yeah I guess you should.,Client,joy,undefined
"Thank you, but I do think that in this profession, the...",Therapist,neutral,Self-disclosure
The best is really matter of personal opinion.,Therapist,neutral,Self-disclosure
"I don't know, the best can be established by facts.",Client,joy,undefined
And figures.,Client,joy,undefined
You're the best. I did my research.,Client,joy,undefined
"A couple former patients,",Client,joy,undefined
Someone else who knew you from graduate school.,Client,joy,undefined
Does that pressure you?,Client,neutral,undefined
Is it important for you to know that...,Therapist,neutral,Open question
I am the best?,Therapist,neutral,Open question
Yes.,Client,joy,undefined
It's nothing personal. I always go to the best.,Client,joy,undefined
"Dentists, mechanics.",Client,joy,undefined
"You know what they say: Save now, pay later.",Client,joy,undefined
"emhuh, So what do you think being...",Therapist,neutral,Open question
the best therapist entails?,Therapist,neutral,Open question
Do you recognize me?,Client,neutral,undefined
"No, I... I don't.",Therapist,neutral,Others
"Okay, let me help you.",Client,neutral,undefined
The madrasa murderer.,Client,depression,undefined
Does that mean anything to you?,Client,depression,undefined
Wasn't that long ago.,Client,depression,undefined
A US Navy aircraft hit a target on the outskirts of Bagdad.,Client,depression,undefined
Naval intelligence identified the structure,Client,depression,undefined
as an insurgent safehouse.,Client,depression,undefined
A bunker.,Client,depression,undefined
Turns out it's a madrasa.,Client,depression,undefined
Let me tell you what that is.,Client,depression,undefined
It's an islamic religion school.,Client,depression,undefined
Boys like bees in a beehive studying the Koran.,Client,depression,undefined
Sixteen of them dead.,Client,depression,undefined
Rings a bell?,Client,depression,undefined
"Yes, I remember that, yes.",Therapist,neutral,Communication Skills
"So, that's me.",Client,depression,undefined
I flew that mission.,Client,depression,undefined
The madrasa murderer.,Client,depression,undefined
"So, do your surf the net?",Client,neutral,undefined
"Well, somehow...",Client,neutral,undefined
"Well, it wasn't really somehow.",Client,neutral,undefined
"Let's call a spade a spade. A leak,",Client,disgust,undefined
probably another intelligence fuckup.,Client,disgust,undefined
"Anyway, I...",Client,disgust,undefined
I was identified as the pilot in that mission.,Client,disgust,undefined
And my photo is placed on fundamentalist websites.,Client,disgust,undefined
"And I'm not talking Al Jazeera, I'm talking websites that...",Client,disgust,undefined
asking for my head on a platter.,Client,disgust,undefined
Offering up the heaven and 40 virgins,Client,disgust,undefined
to anyone who will slit my throat from ear to ear.,Client,disgust,undefined
Here.,Client,disgust,undefined
"Here I am. Now, it's not a recent photo.",Client,disgust,undefined
"It's a photo taken when I was 18,",Client,disgust,undefined
on a high school trip to...,Client,disgust,undefined
Europe... Holland.,Client,disgust,undefined
That city with the miniatures?,Client,disgust,undefined
Ultre... Utrecht.,Client,disgust,undefined
Utrecht.,Therapist,neutral,Restatement
Go ahead.,Therapist,neutral,Communication Skills
So while I'm sitting here talking to you a million fanatics are downloading,Client,neutral,undefined
my portrait and printing it out as a dartboard.,Client,neutral,undefined
Silly motherfuckers.,Client,neutral,undefined
So why have you come to see me?,Therapist,neutral,Open question
"Wow, we'll get to that.",Client,neutral,undefined
"Now, so you're probably thinking...",Client,disgust,undefined
What's it like?,Client,disgust,undefined
"He flew his mission,",Client,disgust,undefined
and he flew back.,Client,disgust,undefined
And he saw the bodies of those children on CNN.,Client,disgust,undefined
"You're probably trying to figure out, What went through his head?",Client,disgust,undefined
Let me tell you.,Client,neutral,undefined
"After that kind of mission, I don't watch CNN.",Client,neutral,undefined
I go to sleep.,Client,neutral,undefined
I'm dead tired.,Client,neutral,undefined
You're probably dying to ask how I can sleep nights.,Client,neutral,undefined
How do you sleep?,Therapist,neutral,Open question
"I sleep well, thank you very much.",Client,neutral,undefined
Knowing it was mission accomplished.,Client,neutral,undefined
"With great precision, let me tell you. See, I followed my orders.",Client,neutral,undefined
Which were hit my target and hit it on time.,Client,neutral,undefined
Time and target.,Client,neutral,undefined
Do you know we have to hit our targets within two seconds,Client,neutral,undefined
of the estimated time?,Client,neutral,undefined
It's surgical.,Client,neutral,undefined
"That's one small window, and I have never missed it.",Client,neutral,undefined
"If I had... If I had failed that task,",Client,neutral,undefined
"I'd be in trouble with my superiors, with my conscience.",Client,neutral,undefined
And with the system.,Client,neutral,undefined
But I hit my target.,Client,neutral,undefined
So I sleep like a baby.,Client,neutral,undefined
How many...,Therapist,neutral,Open question
children...,Therapist,neutral,Open question
died in this mission?,Therapist,neutral,Open question
The media puts it at sixteen.,Client,depression,undefined
And the air force?,Therapist,neutral,Open question
"The Navy, doctor. Listen.",Client,depression,undefined
The Nany says nothing and why should it?,Client,depression,undefined
"It's not the business of body counts, it's about hitting our targets.",Client,depression,undefined
"We don't look back over our shoulder, belive me.",Client,depression,undefined
"We're out there doing thing so you can sit here in peace,",Client,depression,undefined
talking to people for a living.,Client,depression,undefined
So when did you hear the children had been killed?,Therapist,neutral,Open question
The following afternoon.,Client,neutral,undefined
I heard it on the internet.,Client,neutral,undefined
And what exactly did you hear?,Therapist,neutral,Open question
Anything specifically that you remember?,Therapist,neutral,Open question
Like what?,Client,neutral,undefined
It's not like there's time in the day to be surfing the net.,Client,neutral,undefined
This was a moment. I got away.,Client,neutral,undefined
There's a lot of stuff to keep me busy.,Client,neutral,undefined
What king of stuff?,Therapist,neutral,Open question
Mission review.,Client,neutral,undefined
"Aerial photos, videos. Just data, stuff.",Client,neutral,undefined
Preparation versus execution.,Client,neutral,undefined
Every tiny technical aspect of our flight is recorded,Client,neutral,undefined
and analyzed by the man.,Client,neutral,undefined
There's nowhere to hide. And that's the way it should be.,Client,neutral,undefined
It's just stuff and more stuff.,Client,neutral,undefined
It's... It's like when my mother died.,Client,disgust,undefined
My father had a year's worth of stuff to deal with.,Client,disgust,undefined
"Last will and testament, her office, garden,",Client,disgust,undefined
a lifetime of photo albums.,Client,disgust,undefined
"And every time I'd talk to him,",Client,disgust,undefined
"I'd ask how he was, expecting...",Client,disgust,undefined
"You know, that he'd break down...",Client,disgust,undefined
Finally.,Client,disgust,undefined
"It never ends, Alex. It never ends.",Client,disgust,undefined
Your mother left such a mess.,Client,disgust,undefined
'She didn't know she was gonna die.,Client,disgust,undefined
And that's all he'd say.,Client,disgust,undefined
"After less than a year, he met another woman and got married just like that.",Client,disgust,undefined
"So, how did that make you feel?",Therapist,neutral,Open question
I was surprised.,Client,disgust,undefined
A whole life together and not a single tear?,Client,disgust,undefined
It's interesting that you compare,Therapist,neutral,Interpretation
the death of your mother with this mission that you've just...,Therapist,neutral,Interpretation
flown.,Therapist,neutral,Interpretation
That's very clever of you.,Client,depression,undefined
But there's no relation whatsoever.,Client,depression,undefined
